stop_name,stop_id,stop_lat,stop_lon
"Itschnach, Dorf",8576214,47.32779,8.602312
"Itschnach, Fallacher",8576215,47.329025,8.606085
"Küsnacht ZH, Oberwacht",8576216,47.3194,8.584508
"Küsnacht ZH, Ob. Heslibachstr.",8576217,47.316902,8.585549
"Küsnacht ZH, Bergstrasse",8576218,47.314423,8.589708
"Küsnacht ZH, Himmelistrasse",8576219,47.31384,8.592224
"Küsnacht ZH, Hesligenstrasse",8576220,47.31577,8.593204
"Küsnacht ZH, Ränkestrasse",8576221,47.314545,8.595279
"Küsnacht ZH, Allmend",8576222,47.31581,8.597237
"Küsnacht ZH, Bahnhof",8576223,47.31924,8.580869999999999
"Zumikon, Gössikon",8576224,47.332474,8.614772
"Zumikon, Waltikon",8576225,47.33611,8.618185
"Zumikon, Dorfzentrum",8576226,47.332977,8.622919
"Otelfingen, Bahnhof",8576235,47.45483400000001,8.387614
"Otelfingen, Post",8576236,47.460484,8.390139
"Otelfingen, Schule",8576237,47.462967,8.390075999999999
"Boppelsen, Dorf",8576238,47.470276,8.402239
"Boppelsen, Hand",8576239,47.46876500000001,8.407243
"Zürich, Meierhofplatz",8576240,47.40201,8.499374000000001
"Zürich, Heizenholz",8576241,47.41229600000001,8.483905
"Zürich, Grünwald",8576242,47.417384999999996,8.483169
"Regensdorf, Lettenhau",8576243,47.42579,8.471957000000002
"Regensdorf, Obstgarten",8576244,47.429077,8.469254
"Regensdorf, Zentrum",8576245,47.43101,8.466101
"Regensdorf, Ostring",8576246,47.431984,8.471077000000001
"Watt, Geerenweg",8576248,47.439003,8.47724
"Watt, Dorf",8576249,47.442223,8.480742999999999
"Watt, Schulhaus",8576250,47.443913,8.4780035
"Watt, Laubisser",8576251,47.447475,8.477778
"Watt, Haldensteig",8576252,47.449013,8.4710865
"Adlikon b. R., Dorf",8576253,47.448161999999996,8.466469
"Adlikon b. R., Sonnhalde",8576255,47.45200300000001,8.462211
"Adlikon b. R., Sonnhalde West",8576256,47.453303999999996,8.458914
"Buchs ZH, Petermoos",8576257,47.457190000000004,8.443436
"Buchs ZH, Linde",8576258,47.458458,8.440247
"Buchs ZH, Post",8576259,47.45666,8.437588
"Buchs-Dällikon, Bahnhof",8576260,47.453438,8.436411
"Zürich, Zehntenhausplatz",8576262,47.41922,8.506461999999999
"Zürich, Hungerbergstrasse",8576263,47.421368,8.501314
"Regensdorf, Chrüzächer",8576264,47.427753,8.473241999999999
"Regensdorf, Gemeindehaus",8576265,47.43352,8.468337
"Regensdorf, Dreispitz",8576269,47.438359999999996,8.464725999999999
"Regensdorf, Sportanlage Wisa.",8576270,47.437508,8.461214
"Dällikon, Seitenacker",8576271,47.438778000000006,8.444703
"Dällikon, Dorf",8576272,47.439735,8.439303
"Dänikon, Gemeindehaus",8576273,47.445879999999995,8.406838
Hüttikon,8576274,47.44612,8.38642
"Regensdorf, Holenbach",8576275,47.431217,8.460944
"Dällikon, Industrie",8576276,47.444736,8.438783
"Buchs ZH, Industrie",8576277,47.45074,8.438163000000001
"Regensdorf, Furtbächli",8576278,47.44449,8.466694
"Regensdorf, Hardhölzli",8576279,47.44161,8.465902999999999
"Regensdorf, Althard",8576280,47.437943,8.470538000000001
"Adlikon b. R., Ziegelhütte",8576281,47.452633,8.466074
"Dielsdorf, Altmoos",8576282,47.475986,8.454863000000001
"Dielsdorf, Dorfzentrum",8576283,47.481396000000004,8.453667999999999
"Dielsdorf, Bezirksgebäude",8576285,47.48198,8.452688
"Dielsdorf, Spital",8576286,47.481667,8.450460000000001
"Regensberg, Hirsmühle",8576287,47.482258,8.444649
"Regensberg, Höfli",8576288,47.480946,8.43677
"Regensberg, Dorf",8576289,47.48287,8.436258
"Zufikon, Schulanlage",8576480,47.34747700000001,8.358375
"Zufikon, Volg",8576496,47.34537,8.35709
"Zufikon, Haldenstrasse",8576498,47.343315000000004,8.356974000000001
"Wettswil a.A., Schürli",8576699,47.332916,8.477886
"Wettswil a.A., Beerimoos",8576743,47.329570000000004,8.480069
"Uster, Burgreben",8576788,47.343887,8.717089999999999
"Horgen, Waidli",8577867,47.254158000000004,8.605528
"Horgen, untere Mühle",8577912,47.259186,8.598099000000001
"Würenlos, Bettlen",8578679,47.445988,8.370878999999999
"Oberrieden, Bahnhof",8579186,47.279423,8.579153
"Oberrieden, Seehalde",8579188,47.27336,8.583124
"Horgen, Scheller",8579189,47.269141999999995,8.58687
"Horgen, Plattenhof",8579190,47.265423,8.588047
"Horgen, Spital",8579192,47.263363,8.589025999999999
"Wettswil a.A., Dettenbühl",8579434,47.337715,8.474544999999999
"Wettswil a.A., Chilenholzstr.",8579440,47.33408,8.4787035
"Wettswil a.A., Oberhusen",8579442,47.337685,8.477851
"Wettswil a.A., Eggächer",8579443,47.33978,8.474715
"Wettswil a.A., Heissächerstr.",8579453,47.34168,8.474086999999999
"Wettswil a.A., Strumbergächer",8579472,47.34268,8.472254
"Wettswil a.A., Rehweid",8579495,47.343773,8.470691
